,awardYear,Persistence,awardLabel,PairID,class,lastPubYear,event,time,area,group
1,2008,11,Nobel Prize in Physiology or Medicine,24,Winners,2019,0,11,biology,Senior
2,1995,25,MacArthur Fellowship,25,Winners,2020,0,25,general,Middle
3,1987,23,Wolf Prize in Physics,172,Winners,2010,1,23,physics,Middle
4,2001,18,National Medal of Science,26,Winners,2019,0,18,general,Senior
5,2007,13,Fellow of the Royal Society,27,Winners,2020,0,13,general,Young
6,2002,17,MacArthur Fellowship,28,Winners,2019,0,17,general,Young
7,2009,10,National Medal of Science,173,Winners,2019,0,10,general,Senior
8,1894,30,Fellow of the Royal Society,174,Winners,1924,1,30,general,Young
9,2005,15,Fellow of the Royal Society,29,Winners,2020,0,15,general,Middle
10,2009,9,Shanti Swarup Bhatnagar Prize for Science and Technology,175,Winners,2018,0,9,general,Young
11,2013,7,Breakthrough Prize in Life Sciences,176,Winners,2020,0,7,biology,Senior
12,1992,28,Shanti Swarup Bhatnagar Prize for Science and Technology,177,Winners,2020,0,28,general,Young
13,2006,6,Shanti Swarup Bhatnagar Prize for Science and Technology,30,Winners,2012,1,6,general,Young
14,1991,29,Fellow of the Royal Society,178,Winners,2020,0,29,general,Middle
15,2004,16,Fellow of the Royal Society,31,Winners,2020,0,16,general,Middle
16,2015,5,Breakthrough Prize in Life Sciences,179,Winners,2020,0,5,biology,Young
17,1978,39,Nobel Prize in Physiology or Medicine,180,Winners,2017,1,39,biology,Middle
18,1991,29,MacArthur Fellowship,32,Winners,2020,0,29,general,Young
19,2008,12,Shanti Swarup Bhatnagar Prize for Science and Technology,181,Winners,2020,0,12,general,Young
20,1965,19,Nobel Prize in Physiology or Medicine,182,Winners,1984,1,19,biology,Senior
21,2016,4,Fellow of the Royal Society,33,Winners,2020,0,4,general,Senior
22,2015,5,Breakthrough Prize in Life Sciences,34,Winners,2020,0,5,biology,Middle
23,1987,27,Fellow of the Royal Society,183,Winners,2014,1,27,general,Middle
24,2012,8,Fellow of the Royal Society,184,Winners,2020,0,8,general,Middle
25,1992,28,MacArthur Fellowship,35,Winners,2020,0,28,general,Middle
26,1987,33,Nobel Prize in Physiology or Medicine,36,Winners,2020,0,33,biology,Middle
27,2016,4,Nobel Prize in Chemistry,185,Winners,2020,0,4,chemistry,Senior
28,2015,4,Wolf Prize in Medicine,186,Winners,2019,0,4,biology,Senior
29,2004,15,Nobel Prize in Chemistry,187,Winners,2019,0,15,chemistry,Middle
30,2017,2,Nobel Prize in Physics,188,Winners,2019,0,2,physics,Senior
31,2017,2,Breakthrough Prize in Life Sciences,37,Winners,2019,0,2,biology,Senior
32,1993,27,Willard Gibbs Award,189,Winners,2020,0,27,chemistry,Middle
33,1988,31,Fellow of the Royal Society,190,Winners,2019,0,31,general,Senior
34,1994,24,MacArthur Fellowship,191,Winners,2018,0,24,general,Young
35,2004,16,Fellow of the Royal Society,192,Winners,2020,0,16,general,Young
36,2016,4,Lasker-DeBakey Clinical Medical Research Award,193,Winners,2020,0,4,biology,Middle
37,2000,19,Fellow of the Royal Society,194,Winners,2019,0,19,general,Middle
38,2014,5,Willard Gibbs Award,195,Winners,2019,0,5,chemistry,Senior
39,1955,54,Nobel Prize in Physiology or Medicine,196,Winners,2009,1,54,biology,Middle
40,1982,37,Nobel Prize in Physiology or Medicine,197,Winners,2019,0,37,biology,Middle
41,1953,32,Nobel Prize in Physiology or Medicine,198,Winners,1985,1,32,biology,Middle
42,1972,32,Lasker-DeBakey Clinical Medical Research Award,199,Winners,2004,1,32,biology,Middle
43,1988,29,National Medal of Science,200,Winners,2017,1,29,general,Senior
44,1988,28,Fellow of the Royal Society,201,Winners,2016,1,28,general,Middle
45,1991,28,MacArthur Fellowship,202,Winners,2019,0,28,general,NA
46,2003,11,National Medal of Science,203,Winners,2014,1,11,general,Senior
47,2014,6,Fellow of the Royal Society,204,Winners,2020,0,6,general,Middle
48,1972,44,Nobel Prize in Physiology or Medicine,205,Winners,2016,1,44,biology,Young
49,2007,12,Fellow of the Royal Society,206,Winners,2019,0,12,general,Young
50,1978,42,Fields Medal,38,Winners,2020,0,42,mathematics,Young
51,1983,33,MacArthur Fellowship,39,Winners,2016,1,33,general,Young
53,1997,23,Fellow of the Royal Society,3,Winners,2020,0,23,general,Middle
54,2010,10,Fields Medal,40,Winners,2020,0,10,mathematics,Young
55,2014,6,Fellow of the Royal Society,41,Winners,2020,0,6,general,Middle
56,2005,15,Lyell Medal,208,Winners,2020,0,15,geography,Middle
57,1998,13,Lasker-DeBakey Clinical Medical Research Award,209,Winners,2011,1,13,biology,Senior
58,1931,39,Nobel Prize in Physiology or Medicine,210,Winners,1970,1,39,biology,Middle
59,2007,13,Bigsby Medal,211,Winners,2020,0,13,geography,Young
60,1992,2,National Medal of Science,212,Winners,1994,1,2,general,Senior
62,2010,10,Wolf Prize in Physics,214,Winners,2020,0,10,physics,Senior
63,1973,38,Nobel Prize in Physics,215,Winners,2011,1,38,physics,Young
64,2002,18,Fellow of the Royal Society,216,Winners,2020,0,18,general,Middle
65,1997,22,MacArthur Fellowship,217,Winners,2019,0,22,general,NA
66,2005,14,Wolf Prize in Physics,218,Winners,2019,0,14,physics,Senior
67,1999,17,Fellow of the Royal Society,42,Winners,2016,1,17,general,Middle
68,2008,12,Fellow of the Royal Society,219,Winners,2020,0,12,general,Young
69,1974,46,Fellow of the Royal Society,220,Winners,2020,0,46,general,Young
70,1994,16,National Medal of Science,221,Winners,2010,1,16,general,Senior
71,1954,34,Lasker-DeBakey Clinical Medical Research Award,222,Winners,1988,1,34,biology,Middle
72,1997,17,MacArthur Fellowship,223,Winners,2014,1,17,general,Middle
73,2010,8,Nobel Prize in Chemistry,224,Winners,2018,0,8,chemistry,Senior
74,2002,18,Fellow of the Royal Society,225,Winners,2020,0,18,general,Middle
75,2015,4,Fellow of the Royal Society,43,Winners,2019,0,4,general,Middle
76,2012,8,MacArthur Fellowship,4,Winners,2020,0,8,general,Young
77,1975,31,Fellow of the Royal Society,226,Winners,2006,1,31,general,Middle
78,1959,50,Nobel Prize in Physiology or Medicine,227,Winners,2009,1,50,biology,Young
79,2012,7,Turing Award,228,Winners,2019,0,7,cs,Middle
80,1996,23,Fellow of the Royal Society,229,Winners,2019,0,23,general,Young
81,1984,20,MacArthur Fellowship,230,Winners,2004,1,20,general,Middle
82,2009,11,Nobel Prize in Chemistry,44,Winners,2020,0,11,chemistry,Senior
83,2009,11,Nobel Prize in Physiology or Medicine,231,Winners,2020,0,11,biology,Middle
84,1986,29,Wolf Prize in Chemistry,232,Winners,2015,1,29,chemistry,Senior
85,1981,32,MacArthur Fellowship,45,Winners,2013,1,32,general,Young
86,2008,11,MacArthur Fellowship,233,Winners,2019,0,11,general,Young
87,2015,5,Nobel Prize in Physiology or Medicine,234,Winners,2020,0,5,biology,Senior
89,1995,22,Fellow of the Royal Society,236,Winners,2017,1,22,general,Middle
90,1978,24,Nobel Prize in Physiology or Medicine,5,Winners,2002,1,24,biology,Middle
91,2017,3,Fellow of the Royal Society,237,Winners,2020,0,3,general,NA
92,2003,16,Fellow of the Royal Society,238,Winners,2019,0,16,general,Middle
93,1996,24,Shanti Swarup Bhatnagar Prize for Science and Technology,239,Winners,2020,0,24,general,Young
94,1948,61,Fellow of the Royal Society,240,Winners,2009,1,61,general,Middle
95,1985,21,MacArthur Fellowship,46,Winners,2006,1,21,general,Young
96,1997,23,Shanti Swarup Bhatnagar Prize for Science and Technology,241,Winners,2020,0,23,general,Young
97,1971,38,Fellow of the Royal Society,242,Winners,2009,1,38,general,Middle
100,1987,32,National Medal of Science,245,Winners,2019,0,32,general,Senior
101,1995,20,Marconi Prize,246,Winners,2015,1,20,cs,Senior
102,2006,14,Fellow of the Royal Society,247,Winners,2020,0,14,general,NA
103,2002,15,Fields Medal,248,Winners,2017,1,15,mathematics,Young
104,1994,25,Fellow of the Royal Society,249,Winners,2019,0,25,general,Young
105,1986,33,Max Planck Medal,250,Winners,2019,0,33,physics,Middle
106,2001,18,Wolf Prize in Medicine,251,Winners,2019,0,18,biology,Senior
107,1962,47,Fellow of the Royal Society,252,Winners,2009,1,47,general,Young
108,1987,32,MacArthur Fellowship,253,Winners,2019,0,32,general,Senior
109,1999,21,Fellow of the Royal Society,254,Winners,2020,0,21,general,Young
110,2014,6,Fellow of the Royal Society,255,Winners,2020,0,6,general,Senior
111,2001,18,Fellow of the Royal Society,256,Winners,2019,0,18,general,Middle
112,2007,12,Hoover Medal,257,Winners,2019,0,12,cs,Middle
113,1982,18,Wollaston Medal,258,Winners,2000,1,18,geography,Middle
114,1994,26,Wolf Prize in Chemistry,259,Winners,2020,0,26,chemistry,Middle
115,2011,9,Shanti Swarup Bhatnagar Prize for Science and Technology,260,Winners,2020,0,9,general,Young
116,1947,36,Nobel Prize in Physiology or Medicine,261,Winners,1983,1,36,biology,Middle
117,2012,7,Wolf Prize in Mathematics,262,Winners,2019,0,7,mathematics,Senior
118,2001,13,National Medal of Science,263,Winners,2014,1,13,general,Senior
119,2007,13,Fellow of the Royal Society,47,Winners,2020,0,13,general,Middle
120,2015,5,Fellow of the Royal Society,264,Winners,2020,0,5,general,Senior
121,2010,9,Shanti Swarup Bhatnagar Prize for Science and Technology,265,Winners,2019,0,9,general,Young
122,1987,21,MacArthur Fellowship,266,Winners,2008,1,21,general,Young
123,1992,28,Fellow of the Royal Society,267,Winners,2020,0,28,general,Young
124,2016,4,Fellow of the Royal Society,268,Winners,2020,0,4,general,Middle
125,1994,26,Shanti Swarup Bhatnagar Prize for Science and Technology,269,Winners,2020,0,26,general,Young
126,2000,12,Fellow of the Royal Society,270,Winners,2012,1,12,general,Senior
127,2010,10,Fellow of the Royal Society,271,Winners,2020,0,10,general,Middle
128,2010,10,Fellow of the Royal Society,272,Winners,2020,0,10,general,Middle
129,1992,26,MacArthur Fellowship,273,Winners,2018,0,26,general,Middle
130,2014,6,Nobel Prize in Physiology or Medicine,274,Winners,2020,0,6,biology,Middle
131,1987,1,MacArthur Fellowship,275,Winners,1988,1,1,general,Senior
132,2007,13,Shanti Swarup Bhatnagar Prize for Science and Technology,276,Winners,2020,0,13,general,Young
133,1999,20,Nobel Prize in Physiology or Medicine,277,Winners,2019,0,20,biology,Senior
134,2000,19,MacArthur Fellowship,278,Winners,2019,0,19,general,Young
135,1998,22,Wolf Prize in Physics,48,Winners,2020,0,22,physics,Senior
136,1990,30,Fellow of the Royal Society,279,Winners,2020,0,30,general,Middle
137,2018,2,Breakthrough Prize in Life Sciences,280,Winners,2020,0,2,biology,Senior
138,2010,10,National Medal of Science,281,Winners,2020,0,10,general,Senior
139,1991,28,Fellow of the Royal Society,282,Winners,2019,0,28,general,Young
140,1983,13,National Medal of Science,283,Winners,1996,1,13,general,Senior
141,2013,7,Nobel Prize in Physiology or Medicine,284,Winners,2020,0,7,biology,Senior
142,2001,18,Shanti Swarup Bhatnagar Prize for Science and Technology,285,Winners,2019,0,18,general,Young
143,2018,2,Fellow of the Royal Society,286,Winners,2020,0,2,general,Senior
144,2015,5,Max Planck Medal,287,Winners,2020,0,5,physics,Middle
145,2004,15,Wolf Prize in Medicine,288,Winners,2019,0,15,biology,Middle
146,1974,39,Nobel Prize in Physiology or Medicine,289,Winners,2013,1,39,biology,Middle
147,1968,38,Nobel Prize in Physiology or Medicine,290,Winners,2006,1,38,biology,Middle
148,2006,14,Shanti Swarup Bhatnagar Prize for Science and Technology,291,Winners,2020,0,14,general,Young
149,1998,21,Wolf Prize in Medicine,292,Winners,2019,0,21,biology,Senior
151,2000,20,Fellow of the Royal Society,294,Winners,2020,0,20,general,Middle
152,2015,0,Vautrin Lud Prize,295,Winners,2015,1,0,geography,Senior
153,2014,6,Wolf Prize in Medicine,296,Winners,2020,0,6,biology,Senior
154,2003,17,Fellow of the Royal Society,297,Winners,2020,0,17,general,Senior
155,2015,4,Wolf Prize in Physics,298,Winners,2019,0,4,physics,Senior
156,1983,36,MacArthur Fellowship,299,Winners,2019,0,36,general,Young
157,1999,13,Fellow of the Royal Society,300,Winners,2012,1,13,general,Middle
158,1996,23,MacArthur Fellowship,301,Winners,2019,0,23,general,Young
159,1999,20,Shanti Swarup Bhatnagar Prize for Science and Technology,302,Winners,2019,0,20,general,Young
160,1965,45,Nobel Prize in Physiology or Medicine,303,Winners,2010,1,45,biology,Middle
161,1998,9,MacArthur Fellowship,304,Winners,2007,1,9,general,NA
162,2015,5,Shanti Swarup Bhatnagar Prize for Science and Technology,305,Winners,2020,0,5,general,Young
163,2013,7,MacArthur Fellowship,49,Winners,2020,0,7,general,Young
164,1972,21,Davy Medal,306,Winners,1993,1,21,chemistry,Middle
165,2001,10,National Medal of Science,307,Winners,2011,1,10,general,Senior
166,2017,3,Nobel Prize in Physics,308,Winners,2020,0,3,physics,Senior
167,2011,9,Shanti Swarup Bhatnagar Prize for Science and Technology,309,Winners,2020,0,9,general,Young
168,1964,30,Fellow of the Royal Society,310,Winners,1994,1,30,general,Middle
169,1995,25,Wolf Prize in Medicine,311,Winners,2020,0,25,biology,Middle
170,1974,42,Fellow of the Royal Society,312,Winners,2016,1,42,general,Middle
171,1987,33,MacArthur Fellowship,313,Winners,2020,0,33,general,Young
172,1971,49,Fellow of the Royal Society,314,Winners,2020,0,49,general,Young
173,2002,18,MacArthur Fellowship,315,Winners,2020,0,18,general,Young
174,1974,41,Fellow of the Royal Society,316,Winners,2015,1,41,general,Young
175,2016,4,Fellow of the Royal Society,317,Winners,2020,0,4,general,Senior
176,1992,10,Fellow of the Royal Society,318,Winners,2002,1,10,general,Young
177,2016,4,Fellow of the Royal Society,319,Winners,2020,0,4,general,Senior
178,2017,3,Fellow of the Royal Society,320,Winners,2020,0,3,general,Middle
179,1994,15,MacArthur Fellowship,321,Winners,2009,1,15,general,Senior
180,2015,4,Fellow of the Royal Society,322,Winners,2019,0,4,general,NA
181,2001,18,Nobel Prize in Physics,323,Winners,2019,0,18,physics,Middle
182,2000,20,Shanti Swarup Bhatnagar Prize for Science and Technology,324,Winners,2020,0,20,general,Young
183,1994,26,Willard Gibbs Award,325,Winners,2020,0,26,chemistry,Senior
184,2005,15,Shanti Swarup Bhatnagar Prize for Science and Technology,326,Winners,2020,0,15,general,Young
185,1996,24,Fellow of the Royal Society,327,Winners,2020,0,24,general,Middle
186,2005,15,Max Planck Medal,328,Winners,2020,0,15,physics,Middle
187,2006,14,Nobel Prize in Physics,329,Winners,2020,0,14,physics,Senior
188,2015,4,Fellow of the Royal Society,330,Winners,2019,0,4,general,Middle
189,1977,33,Fellow of the Royal Society,331,Winners,2010,1,33,general,Middle
190,2004,16,Nobel Prize in Physiology or Medicine,332,Winners,2020,0,16,biology,Middle
191,1990,30,MacArthur Fellowship,333,Winners,2020,0,30,general,Middle
192,2005,14,Fellow of the Royal Society,334,Winners,2019,0,14,general,Middle
193,1996,24,Fellow of the Royal Society,335,Winners,2020,0,24,general,Middle
194,2013,7,Fellow of the Royal Society,336,Winners,2020,0,7,general,Middle
195,2015,5,Fellow of the Royal Society,337,Winners,2020,0,5,general,Middle
196,1970,7,National Medal of Science,338,Winners,1977,1,7,general,Middle
197,2001,7,National Medal of Science,339,Winners,2008,1,7,general,Senior
198,1994,25,Fields Medal,340,Winners,2019,0,25,mathematics,Young
199,1997,16,Shanti Swarup Bhatnagar Prize for Science and Technology,341,Winners,2013,1,16,general,Young
200,1988,32,Fellow of the Royal Society,342,Winners,2020,0,32,general,Middle
201,1986,28,Fellow of the Royal Society,343,Winners,2014,1,28,general,Senior
202,2015,5,Fellow of the Royal Society,344,Winners,2020,0,5,general,Young
203,2009,10,Nobel Prize in Physiology or Medicine,345,Winners,2019,0,10,biology,Middle
204,2005,15,Fellow of the Royal Society,346,Winners,2020,0,15,general,Middle
205,2015,5,Fellow of the Royal Society,347,Winners,2020,0,5,general,Middle
206,1989,27,Fellow of the Royal Society,348,Winners,2016,1,27,general,Young
207,1981,34,Fellow of the Royal Society,349,Winners,2015,1,34,general,Middle
208,2007,11,Shanti Swarup Bhatnagar Prize for Science and Technology,350,Winners,2018,0,11,general,NA
209,2000,17,MacArthur Fellowship,351,Winners,2017,1,17,general,NA
210,2008,10,Fellow of the Royal Society,352,Winners,2018,0,10,general,Young
211,1990,2,National Medal of Science,353,Winners,1992,1,2,general,Senior
212,1984,2,MacArthur Fellowship,354,Winners,1986,1,2,general,Young
213,1953,49,Fellow of the Royal Society,355,Winners,2002,1,49,general,Young
214,2006,14,Fellow of the Royal Society,356,Winners,2020,0,14,general,Middle
